[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=9.03111 | c_delayed=-7.29435 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=0.00557304 | c_delayed=7.78003 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=0 | c_delayed=0 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=-1.25624 | c_delayed=0 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2206 | tau_c_delay_=200 | t_past=2006 | c_current=0 | c_delayed=0 | n=0.0556163
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=0 | c_delayed=0 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=0 | c_delayed=0 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=3.30767e-32 | c_delayed=6.85085e-28 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=0 | c_delayed=0 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=8.59066 | c_delayed=-8.57616 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=0.00530124 | c_delayed=7.4006 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=0 | c_delayed=0 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=-2.144 | c_delayed=0 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=0 | c_delayed=0 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=0 | c_delayed=0 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=0 | c_delayed=0 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=3.14635e-32 | c_delayed=6.51673e-28 | n=0.0455348
