[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2406 | tau_c_delay_=200 | t_past=2206 | c_current=0 | c_delayed=0 | n=0.522145
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2406 | tau_c_delay_=200 | t_past=2206 | c_current=0.00620219 | c_delayed=6.46916 | n=0.522145
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2406 | tau_c_delay_=200 | t_past=2206 | c_current=4.99821e-07 | c_delayed=0.42885 | n=0.522145
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2406 | tau_c_delay_=200 | t_past=2206 | c_current=-3.58548 | c_delayed=0 | n=0.522145
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2406 | tau_c_delay_=200 | t_past=2206 | c_current=6.04713 | c_delayed=0 | n=0.522145
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2406 | tau_c_delay_=200 | t_past=2206 | c_current=0 | c_delayed=0 | n=0.522145
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2407 | tau_c_delay_=200 | t_past=2207 | c_current=0 | c_delayed=0 | n=0.472456
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2407 | tau_c_delay_=200 | t_past=2207 | c_current=0 | c_delayed=0 | n=0.472456
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2407 | tau_c_delay_=200 | t_past=2207 | c_current=1.80559e-36 | c_delayed=5.44679e-30 | n=0.472456
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2407 | tau_c_delay_=200 | t_past=2207 | c_current=0 | c_delayed=0 | n=0.472456
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2407 | tau_c_delay_=200 | t_past=2207 | c_current=0.0058997 | c_delayed=5.18496 | n=0.472456
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2407 | tau_c_delay_=200 | t_past=2207 | c_current=4.75445e-07 | c_delayed=0.407934 | n=0.472456
