[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=-3.70139 | c_delayed=0 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2207 | tau_c_delay_=200 | t_past=2007 | c_current=0 | c_delayed=0 | n=0.0503237
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=0 | c_delayed=0 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=0 | c_delayed=0 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=3.57448e-32 | c_delayed=1.0321e-25 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=0 | c_delayed=0 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=8.02476 | c_delayed=0 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=0.00471374 | c_delayed=3.60962 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=0 | c_delayed=0 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=-4.34358 | c_delayed=0 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=0 | c_delayed=0 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=0 | c_delayed=0 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=0 | c_delayed=0 | n=0.0412016
